index,timeStamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
0,778645.4361211,-180059.484375,-189197.59375,-136378.453125,-199193.296875,-183369.78125,-194576.5,-195660.640625,-180193.140625,-195599.765625,-151231.1875,-170184.65625,-214027.4375,-187605.796875,0.0,0.0,0.0
1,778645.4361603,-180408.0,-189201.34375,-137116.6875,-199151.984375,-183389.171875,-194593.484375,-195585.71875,-180467.625,-195648.9375,-148424.703125,-170219.359375,-213641.90625,-187645.484375,0.0,0.0,0.0
2,778645.4361688,-180151.9375,-189180.25,-136911.59375,-199166.46875,-183369.59375,-194554.859375,-195640.4375,-180268.25,-195646.96875,-153132.515625,-170146.84375,-214266.5,-187552.328125,0.0,0.0,0.0
3,778645.436177,-180222.46875,-189220.84375,-136799.375,-199219.578125,-183411.625,-194625.578125,-195683.984375,-180317.515625,-195627.65625,-148407.984375,-170231.78125,-213647.546875,-187664.53125,0.0,0.0,0.0
4,778645.4361837,-180412.1875,-189181.234375,-137450.796875,-199133.921875,-183382.734375,-194565.59375,-195589.203125,-180484.703125,-195672.625,-150849.15625,-170169.46875,-213942.84375,-187576.5625,0.0,0.0,0.0
5,778645.4769079,-180071.828125,-189202.421875,-136632.28125,-199221.90625,-183401.609375,-194601.625,-195723.234375,-180202.625,-195623.71875,-151142.9375,-170187.25,-213981.390625,-187608.203125,0.0,0.0,0.0
6,778645.4770068,-180420.0625,-189214.671875,-137270.109375,-199179.96875,-183423.78125,-194611.71875,-195643.921875,-180485.0625,-195661.625,-148297.203125,-170218.8125,-213567.078125,-187636.453125,0.0,0.0,0.0
7,778645.4770367,-180169.0,-189204.390625,-136981.6875,-199193.109375,-183401.875,-194572.203125,-195703.296875,-180295.421875,-195672.265625,-153014.59375,-170157.390625,-214178.890625,-187559.390625,0.0,0.0,0.0
8,778645.4770535,-180229.625,-189245.421875,-136817.4375,-199236.03125,-183439.25,-194625.125,-195727.4375,-180328.515625,-195657.0625,-148309.375,-170259.5,-213536.3125,-187658.71875,0.0,0.0,0.0
9,778645.4770668,-180410.5,-189195.265625,-137446.234375,-199139.921875,-183398.203125,-194556.109375,-195616.296875,-180479.96875,-195678.171875,-150707.796875,-170167.671875,-213797.46875,-187570.828125,0.0,0.0,0.0
10,778645.5188276,-180059.3125,-189224.5,-136610.90625,-199223.78125,-183410.90625,-194580.25,-195742.625,-180192.078125,-195635.4375,-151040.03125,-170195.75,-213824.921875,-187607.046875,0.0,0.0,0.0
11,778645.5189715,-180391.0,-189225.578125,-137236.140625,-199162.453125,-183417.875,-194574.96875,-195644.90625,-180465.921875,-195667.265625,-148186.4375,-170221.5,-213395.40625,-187631.546875,0.0,0.0,0.0
12,778645.5189961,-180149.875,-189217.796875,-136942.703125,-199179.078125,-183402.40625,-194543.765625,-195695.15625,-180283.453125,-195674.953125,-152871.625,-170156.140625,-213996.40625,-187556.171875,0.0,0.0,0.0
13,778645.5190142,-180208.171875,-189259.734375,-136687.359375,-199217.875,-183435.578125,-194602.515625,-195723.9375,-180322.78125,-195661.8125,-148194.84375,-170248.40625,-213348.65625,-187665.609375,0.0,0.0,0.0
14,778645.5190259,-180398.875,-189212.53125,-137296.65625,-199122.125,-183392.484375,-194520.609375,-195612.09375,-180481.84375,-195685.328125,-150541.953125,-170179.203125,-213600.953125,-187568.6875,0.0,0.0,0.0
15,778645.5600433,-180062.609375,-189227.1875,-136398.484375,-199208.140625,-183392.75,-194555.03125,-195727.78125,-180192.796875,-195636.859375,-150894.84375,-170194.5,-213627.875,-187607.484375,0.0,0.0,0.0
16,778645.5601536,-180386.625,-189221.640625,-136947.53125,-199147.15625,-183398.390625,-194552.359375,-195631.40625,-180467.625,-195661.0,-148019.875,-170203.890625,-213180.5625,-187624.03125,0.0,0.0,0.0
17,778645.5601719,-180146.125,-189208.40625,-136660.796875,-199166.203125,-183378.09375,-194521.421875,-195677.8125,-180279.609375,-195666.359375,-152678.515625,-170144.34375,-213773.421875,-187534.71875,0.0,0.0,0.0
18,778645.560183,-180194.40625,-189224.59375,-136447.5625,-199193.921875,-183399.109375,-194572.828125,-195688.890625,-180300.34375,-195631.859375,-148034.4375,-170213.1875,-213125.5,-187642.890625,0.0,0.0,0.0
19,778645.5601959,-180409.875,-189205.90625,-137062.59375,-199124.265625,-183384.703125,-194526.96875,-195601.8125,-180483.71875,-195671.640625,-150359.015625,-170158.203125,-213387.1875,-187575.75,0.0,0.0,0.0
20,778645.5983097,-180072.265625,-189218.515625,-136226.375,-199212.6875,-183391.140625,-194561.75,-195717.5,-180200.203125,-195634.71875,-150759.828125,-170193.15625,-213430.640625,-187614.28125,0.0,0.0,0.0
21,778645.5984471,-180403.515625,-189237.296875,-136848.640625,-199164.140625,-183408.484375,-194561.921875,-195627.390625,-180467.984375,-195668.78125,-147888.0,-170218.90625,-212990.75,-187631.8125,0.0,0.0,0.0
22,778645.5985068,-180168.109375,-189207.34375,-136570.40625,-199171.65625,-183381.125,-194522.046875,-195669.234375,-180281.75,-195672.171875,-152523.203125,-170144.875,-213588.171875,-187549.640625,0.0,0.0,0.0
23,778645.598524,-180213.984375,-189245.0625,-136400.890625,-199208.9375,-183419.125,-194573.546875,-195696.140625,-180310.09375,-195646.96875,-147920.8125,-170228.109375,-212951.78125,-187659.25,0.0,0.0,0.0
