index,timeStamp,description
0,778659.5845,START
1,778664.0000,startBlock
2,778664.3553,baseLine
3,778666.0571,baseLine
4,778667.7175,baseLine
5,778669.3753,baseLine
6,778671.0116,baseLine
7,778672.6545,distractor
8,778674.2981,baseLine
9,778675.9388,distractor
10,778677.5720,distractor
11,778679.2398,baseLine
12,778680.9001,target
13,778682.5446,baseLine
14,778684.2027,baseLine
15,778685.8558,distractor
16,778687.4928,baseLine
17,778689.1447,distractor
18,778690.8030,distractor
19,778692.4523,baseLine
20,778694.0926,target
21,778695.7564,baseLine
22,778697.3970,baseLine
23,778699.0496,distractor
24,778700.7161,baseLine
25,778702.3741,distractor
26,778704.0328,baseLine
27,778705.6687,distractor
28,778707.3111,baseLine
29,778708.9828,baseLine
30,778710.6343,baseLine
31,778712.2994,baseLine
32,778713.9392,baseLine
33,778715.5737,baseLine
34,778717.2238,baseLine
35,778718.8505,baseLine
36,778720.4872,baseLine
37,778722.1254,target
38,778723.7620,baseLine
39,778725.4137,baseLine
40,778727.0531,baseLine
41,778728.7042,baseLine
42,778730.3461,baseLine
43,778731.9776,target
44,778733.6381,baseLine
45,778735.2839,target
46,778736.9150,target
47,778738.5546,baseLine
48,778740.3644,target
49,778741.9917,baseLine
50,778743.6281,target
51,778745.2850,baseLine
52,778746.9134,baseLine
53,778748.5526,baseLine
54,778750.1984,baseLine
55,778751.8376,baseLine
56,778753.4821,baseLine
57,778755.1090,baseLine
58,778756.7533,baseLine
59,778758.3812,baseLine
60,778760.0681,baseLine
61,778761.7139,distractor
62,778763.4596,distractor
63,778765.1063,target
64,778766.7453,baseLine
65,778768.3971,baseLine
66,778770.0567,baseLine
67,778771.7092,target
68,778773.3384,distractor
69,778774.9713,target
70,778776.6140,baseLine
71,778778.2545,baseLine
72,778782.5778,startBlock
73,778782.8272,target
74,778784.5594,target
75,778786.2088,baseLine
76,778787.8562,baseLine
77,778789.5047,distractor
78,778791.1453,baseLine
79,778792.8088,baseLine
80,778794.4433,baseLine
81,778796.0872,baseLine
82,778797.7275,baseLine
83,778799.3951,target
84,778801.0353,baseLine
85,778802.6948,baseLine
86,778804.3327,baseLine
87,778805.9725,target
88,778807.6311,baseLine
89,778809.2618,baseLine
90,778810.8987,target
91,778812.5547,baseLine
92,778814.1809,baseLine
93,778815.8138,baseLine
94,778817.4366,baseLine
95,778819.0949,baseLine
96,778820.7262,baseLine
97,778822.3837,target
98,778824.0235,baseLine
99,778825.6631,baseLine
100,778827.2972,baseLine
101,778828.9432,target
102,778830.5876,baseLine
103,778832.2425,target
104,778833.8885,baseLine
105,778835.5134,distractor
106,778837.1438,baseLine
107,778838.7554,baseLine
108,778840.4099,baseLine
109,778842.0561,baseLine
110,778843.7050,baseLine
111,778845.3499,target
112,778846.9881,baseLine
113,778848.6191,baseLine
114,778850.2558,baseLine
115,778851.8752,baseLine
116,778853.5200,baseLine
117,778855.1559,distractor
118,778856.7987,baseLine
119,778858.4501,target
120,778860.1287,baseLine
121,778861.7616,target
122,778863.4104,baseLine
123,778865.0423,target
124,778866.6613,baseLine
125,778868.3435,baseLine
126,778869.9731,baseLine
127,778871.6059,baseLine
128,778873.2292,target
129,778874.8534,distractor
130,778876.4815,baseLine
131,778878.1178,baseLine
132,778879.7414,baseLine
133,778881.4023,baseLine
134,778883.0361,baseLine
135,778884.7042,baseLine
136,778886.3335,baseLine
137,778887.9812,baseLine
138,778889.6401,distractor
139,778891.2718,baseLine
140,778892.9073,distractor
141,778894.5268,baseLine
142,778896.1644,baseLine
