4.0086 	WARNING 	Monitor specification not found. Creating a temporary one...
4.0172 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1536, 864]. Using actual size
7.4819 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

778659.5845 	WARNING 	t of last frame was 778652103.03ms (=1/0)
778659.5845 	EXP 	START
778659.7017 	WARNING 	t of last frame was 117.24ms (=1/8)
778659.9225 	WARNING 	t of last frame was 220.79ms (=1/4)
778663.9930 	DATA 	Keypress: space
778664.0000 	WARNING 	t of last frame was 4077.50ms (=1/0)
778664.0000 	EXP 	startBlock
778664.3553 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
778664.3553 	EXP 	baseLine
778666.0571 	EXP 	baseLine
778667.7175 	EXP 	baseLine
778669.3753 	EXP 	baseLine
778671.0116 	EXP 	baseLine
778672.6545 	EXP 	distractor
778674.2981 	EXP 	baseLine
778675.9388 	EXP 	distractor
778677.5720 	EXP 	distractor
778679.2398 	EXP 	baseLine
778680.9001 	EXP 	target
778682.5446 	EXP 	baseLine
778684.2027 	EXP 	baseLine
778685.8558 	EXP 	distractor
778687.4928 	EXP 	baseLine
778689.1447 	EXP 	distractor
778690.8030 	EXP 	distractor
778692.4523 	EXP 	baseLine
778694.0926 	EXP 	target
778695.7564 	EXP 	baseLine
778697.3970 	EXP 	baseLine
778699.0496 	EXP 	distractor
778700.7161 	EXP 	baseLine
778702.3741 	EXP 	distractor
778704.0328 	EXP 	baseLine
778705.6687 	EXP 	distractor
778707.3111 	EXP 	baseLine
778708.9828 	EXP 	baseLine
778710.6343 	EXP 	baseLine
778712.2994 	EXP 	baseLine
778713.9392 	EXP 	baseLine
778715.5737 	EXP 	baseLine
778717.2238 	EXP 	baseLine
778718.8505 	EXP 	baseLine
778720.4872 	EXP 	baseLine
778722.1254 	EXP 	target
778723.7620 	EXP 	baseLine
778725.4137 	EXP 	baseLine
778727.0531 	EXP 	baseLine
778728.7042 	EXP 	baseLine
778730.3461 	EXP 	baseLine
778731.9776 	EXP 	target
778733.6381 	EXP 	baseLine
778735.2839 	EXP 	target
778736.9150 	EXP 	target
778738.5546 	EXP 	baseLine
778740.3644 	EXP 	target
778741.9917 	EXP 	baseLine
778743.6281 	EXP 	target
778745.2850 	EXP 	baseLine
778746.9134 	EXP 	baseLine
778748.5526 	EXP 	baseLine
778750.1984 	EXP 	baseLine
778751.8376 	EXP 	baseLine
778753.4821 	EXP 	baseLine
778755.1090 	EXP 	baseLine
778756.7533 	EXP 	baseLine
778758.3812 	EXP 	baseLine
778760.0681 	EXP 	baseLine
778761.7139 	EXP 	distractor
778763.4596 	EXP 	distractor
778765.1063 	EXP 	target
778766.7453 	EXP 	baseLine
778768.3971 	EXP 	baseLine
778770.0567 	EXP 	baseLine
778771.7092 	EXP 	target
778773.3384 	EXP 	distractor
778774.9713 	EXP 	target
778776.6140 	EXP 	baseLine
778778.2545 	EXP 	baseLine
778782.5721 	DATA 	Keypress: space
778782.5778 	EXP 	startBlock
778782.8272 	EXP 	target
778784.5594 	EXP 	target
778786.2088 	EXP 	baseLine
778787.8562 	EXP 	baseLine
778789.5047 	EXP 	distractor
778791.1453 	EXP 	baseLine
778792.8088 	EXP 	baseLine
778794.4433 	EXP 	baseLine
778796.0872 	EXP 	baseLine
778797.7275 	EXP 	baseLine
778799.3951 	EXP 	target
778801.0353 	EXP 	baseLine
778802.6948 	EXP 	baseLine
778804.3327 	EXP 	baseLine
778805.9725 	EXP 	target
778807.6311 	EXP 	baseLine
778809.2618 	EXP 	baseLine
778810.8987 	EXP 	target
778812.5547 	EXP 	baseLine
778814.1809 	EXP 	baseLine
778815.8138 	EXP 	baseLine
778817.4366 	EXP 	baseLine
778819.0949 	EXP 	baseLine
778820.7262 	EXP 	baseLine
778822.3837 	EXP 	target
778824.0235 	EXP 	baseLine
778825.6631 	EXP 	baseLine
778827.2972 	EXP 	baseLine
778828.9432 	EXP 	target
778830.5876 	EXP 	baseLine
778832.2425 	EXP 	target
778833.8885 	EXP 	baseLine
778835.5134 	EXP 	distractor
778837.1438 	EXP 	baseLine
778838.7554 	EXP 	baseLine
778840.4099 	EXP 	baseLine
778842.0561 	EXP 	baseLine
778843.7050 	EXP 	baseLine
778845.3499 	EXP 	target
778846.9881 	EXP 	baseLine
778848.6191 	EXP 	baseLine
778850.2558 	EXP 	baseLine
778851.8752 	EXP 	baseLine
778853.5200 	EXP 	baseLine
778855.1559 	EXP 	distractor
778856.7987 	EXP 	baseLine
778858.4501 	EXP 	target
778860.1287 	EXP 	baseLine
778861.7616 	EXP 	target
778863.4104 	EXP 	baseLine
778865.0423 	EXP 	target
778866.6613 	EXP 	baseLine
778868.3435 	EXP 	baseLine
778869.9731 	EXP 	baseLine
778871.6059 	EXP 	baseLine
778873.2292 	EXP 	target
778874.8534 	EXP 	distractor
778876.4815 	EXP 	baseLine
778878.1178 	EXP 	baseLine
778879.7414 	EXP 	baseLine
778881.4023 	EXP 	baseLine
778883.0361 	EXP 	baseLine
778884.7042 	EXP 	baseLine
778886.3335 	EXP 	baseLine
778887.9812 	EXP 	baseLine
778889.6401 	EXP 	distractor
778891.2718 	EXP 	baseLine
778892.9073 	EXP 	distractor
778894.5268 	EXP 	baseLine
778896.1644 	EXP 	baseLine
