index,timeStamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
0,598990.0610445,-69863.125,-67001.0078125,-64848.87109375,-118698.046875,-96546.4140625,-112700.0234375,-81682.3515625,-104989.0234375,-157206.453125,-91907.578125,-82363.921875,-116255.3984375,-187500.015625,6934.2041015625,6901.3916015625,6932.1923828125
1,598990.0610935,-70062.125,-68379.8203125,-65798.1015625,-120597.5859375,-99596.0859375,-113665.6875,-86366.8515625,-105419.4765625,-156489.125,-89989.0859375,-79836.296875,-115608.65625,-187500.015625,6853.5810546875,6820.92529296875,6851.6591796875
2,598990.0611089,-70742.734375,-68498.0625,-66288.7265625,-122312.65625,-99770.3828125,-117161.34375,-86458.578125,-105974.25,-157489.65625,-91829.4375,-83347.53125,-116411.171875,-187500.015625,6957.69580078125,6924.9951171875,6955.66162109375
3,598990.0611216,-69436.390625,-66919.6015625,-64537.62109375,-117605.71875,-96425.8984375,-110476.4921875,-81607.625,-104639.5390625,-156583.359375,-90774.28125,-80183.375,-115755.4140625,-187500.015625,6869.25,6836.70556640625,6867.39453125
4,598990.0611332,-70846.6484375,-69322.546875,-66845.6171875,-123394.3046875,-101582.9375,-117650.84375,-89263.2578125,-106218.328125,-157049.8125,-90658.0234375,-81791.3125,-116015.5,-187500.015625,6909.72900390625,6877.09521484375,6907.71728515625
5,598990.1097086,-69870.796875,-67001.1171875,-64853.67578125,-118715.390625,-96554.1484375,-112729.8828125,-81693.1640625,-104995.5546875,-157207.265625,-91910.6171875,-82368.8828125,-116255.109375,-187500.015625,6935.90283203125,6903.380859375,6933.98046875
6,598990.1097473,-70054.1015625,-68361.109375,-65781.96875,-120559.71875,-99561.4609375,-113618.390625,-86315.2421875,-105410.046875,-156480.265625,-89991.3828125,-79805.921875,-115602.3515625,-187500.015625,6849.625,6817.19287109375,6847.77001953125
7,598990.1097837,-70748.859375,-68505.6796875,-66297.421875,-122333.4453125,-99792.6953125,-117184.3203125,-86491.59375,-105981.2421875,-157487.0625,-91820.8359375,-83337.140625,-116407.796875,-187500.015625,6958.58984375,6925.93408203125,6956.64501953125
8,598990.1097976,-69435.2890625,-66900.8515625,-64525.3515625,-117579.6953125,-96392.59375,-110455.4375,-81555.953125,-104637.03125,-156581.453125,-90788.8515625,-80177.0703125,-115755.015625,-187500.015625,6870.16650390625,6837.6669921875,6868.35595703125
9,598990.1098053,-70843.2734375,-69321.7890625,-66843.4765625,-123383.9296875,-101585.1015625,-117627.28125,-89264.90625,-106218.0390625,-157041.953125,-90648.0390625,-81758.2109375,-116008.28125,-187500.015625,6909.169921875,6876.6259765625,6907.248046875
10,598990.1305906,-69880.828125,-67003.375,-64860.671875,-118736.2421875,-96565.5234375,-112765.4453125,-81707.2265625,-105006.0390625,-157211.953125,-91919.4453125,-82382.984375,-116257.28125,-187500.015625,6937.66845703125,6905.0126953125,6935.8134765625
11,598990.1308299,-70040.0390625,-68333.375,-65756.8671875,-120497.921875,-99507.9296875,-113539.1953125,-86234.84375,-105396.0546875,-156469.234375,-89993.53125,-79767.71875,-115594.0390625,-187500.015625,6849.51318359375,6817.0810546875,6847.77001953125
12,598990.1308866,-70753.6640625,-68517.890625,-66308.171875,-122357.8984375,-99825.0390625,-117202.3359375,-86540.7890625,-105989.421875,-157482.046875,-91801.5,-83321.203125,-116401.109375,-187500.015625,6957.49462890625,6924.88330078125,6955.52783203125
13,598990.1309052,-69430.6015625,-66875.390625,-64507.359375,-117539.640625,-96346.703125,-110415.8046875,-81485.96875,-104630.5703125,-156580.046875,-90803.9375,-80173.203125,-115753.3828125,-187500.015625,6865.56201171875,6833.10693359375,6863.93017578125
14,598990.1309233,-70833.390625,-69316.046875,-66834.328125,-123358.40625,-101576.8984375,-117577.84375,-89255.3203125,-106211.1328125,-157026.484375,-90625.6640625,-81710.9140625,-115994.6875,-187500.015625,6902.978515625,6870.47900390625,6901.16796875
15,598990.1887165,-69885.7265625,-66998.1015625,-64860.203125,-118738.9921875,-96563.6953125,-112773.3828125,-81703.765625,-105011.1796875,-157212.171875,-91916.921875,-82388.1953125,-116255.8671875,-187500.015625,6935.232421875,6902.576171875,6933.3544921875
16,598990.1887661,-70026.4296875,-68309.3203125,-65734.515625,-120443.78125,-99463.34375,-113464.0234375,-86169.015625,-105384.0234375,-156455.328125,-89992.859375,-79723.015625,-115583.265625,-187500.015625,6847.3896484375,6814.8681640625,6845.6240234375
17,598990.1887954,-70755.3828125,-68525.375,-66314.1640625,-122371.2421875,-99845.5078125,-117207.359375,-86572.953125,-105995.6640625,-157477.03125,-91780.9375,-83310.0,-116394.359375,-187500.015625,6958.74609375,6926.04541015625,6956.71240234375
18,598990.1888091,-69425.078125,-66847.6953125,-64487.48828125,-117494.515625,-96297.1953125,-110367.4140625,-81409.765625,-104625.0703125,-156574.859375,-90814.8671875,-80155.296875,-115748.84375,-187500.015625,6868.6689453125,6836.10205078125,6866.88037109375
19,598990.1888228,-70822.734375,-69312.71875,-66827.6015625,-123336.234375,-101572.25,-117530.390625,-89251.8359375,-106206.125,-157013.9375,-90604.875,-81664.375,-115982.9375,-187500.015625,6905.03515625,6872.4013671875,6903.1572265625
20,598990.2344954,-69890.6875,-66992.3125,-64860.515625,-118741.1640625,-96560.0703125,-112781.046875,-81697.859375,-105017.2578125,-157213.59375,-91912.7890625,-82396.328125,-116254.53125,-187500.015625,6937.48974609375,6904.87841796875,6935.5673828125
21,598990.2345566,-70010.7578125,-68282.140625,-65709.7734375,-120381.3515625,-99410.6328125,-113379.109375,-86091.0078125,-105370.171875,-156440.625,-89993.46875,-79669.9296875,-115571.796875,-187500.015625,6845.78076171875,6813.30322265625,6844.12646484375
22,598990.234583,-70756.1875,-68536.5703125,-66322.546875,-122386.84375,-99872.1796875,-117212.0546875,-86616.09375,-106001.453125,-157473.828125,-91753.7578125,-83300.0546875,-116387.859375,-187500.015625,6956.3994140625,6923.69873046875,6954.5439453125
