index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
index,24720.014778325123,24721.014778325123,24722.014778325123,24723.014778325123,24724.014778325123,24725.014778325123,24726.014778325123,24727.014778325123,24728.014778325123,24729.014778325123,24730.014778325123,24731.014778325123,24732.014778325123,24733.014778325123,24734.014778325123,24735.014778325123,24736.014778325123,24737.014778325123,24738.014778325123,24739.014778325123,24740.014778325123,24741.014778325123,24742.014778325123,24743.014778325123,24744.014778325123,24745.014778325123,24746.014778325123,24747.014778325123,24748.014778325123,24749.014778325123,24750.014778325123,24751.014778325123,24752.014778325123,24753.014778325123,24754.014778325123,24755.014778325123,24756.014778325123,24757.014778325123,24758.014778325123,24759.014778325123,24760.014778325123,24761.014778325123,24762.014778325123,24763.014778325123,24764.014778325123,24765.014778325123,24766.014778325123,24767.014778325123,24768.014778325123,24769.014778325123,24770.014778325123,24771.014778325123,24772.014778325123,24773.014778325123,24774.014778325123,24775.014778325123,24776.014778325123,24777.014778325123,24778.014778325123,24779.014778325123,24780.014778325123,24781.014778325123,24782.014778325123,24783.014778325123,24784.014778325123,24785.014778325123,24786.014778325123,24787.014778325123,24788.014778325123,24789.014778325123,24187.4039408867,24172.931034482757,24017.266009852217,24018.231527093598,24019.197044334975
timeStamp,602275.6822058943,602275.6823142377,602275.682349706,602275.6825012503,602275.6828128395,602275.7179089267,602275.7180190394,602275.7180487924,602275.7183132988,602275.7184855043,602275.7605283206,602275.7606481047,602275.760677821,602275.7609319338,602275.7610720592,602275.7981515854,602275.7982652327,602275.7982955576,602275.7984547518,602275.7987540897,602275.8410811671,602275.8411924186,602275.8412301787,602275.841526339,602275.841723429,602275.8827803227,602275.8828637694,602275.8828861329,602275.8831671615,602275.8834169772,602275.9115889558,602275.9116656914,602275.9116918728,602275.9118359028,602275.9119588566,602275.9485807682,602275.9486729403,602275.9486973142,602275.9488170742,602275.9490780351,602275.9883218149,602275.9884299027,602275.988453226,602275.9887148244,602275.9889480512,602276.0286904253,602276.0287784758,602276.028803446,602276.0290232913,602276.0291814078,602276.0682417006,602276.06833079,602276.0683520024,602276.0685874722,602276.0688327164,602276.1082258344,602276.1083163013,602276.1083408286,602276.108471022,602276.1086854461,602276.1474811723,602276.1475709205,602276.1475937858,602276.1478417151,602276.148088694,602276.1881528329,602276.1882501811,602276.1882760966,602276.1885070116,602276.188732706,587441.9022301589,584475.8773045425,581508.7233973022,581508.7236505771,581508.723773179
channel_1,324318.4498922414,324330.79521051416,324342.804341133,324356.16367764777,324368.08478294336,324381.0573526016,324395.14064424264,324408.4304187192,324422.840882851,324436.00900554186,324448.3119900708,324462.1951393165,324475.0264393473,324489.09629002464,324503.45003656094,324516.7862723214,324531.4513450585,324544.6977947968,324559.20746420877,324573.17958166567,324587.3438943196,324602.0188288947,324616.725177032,324632.2801627925,324648.30214747536,324663.49207204435,324678.505859375,324692.4548953202,324706.2052801724,324719.24809498154,324731.80959436577,324744.7868784637,324756.35046567116,324770.1903960129,324783.40683689964,324796.7648168103,324811.42713785404,324825.3115571121,324839.6770705049,324853.8390355603,324866.95765663486,324881.5655018473,324894.9793911638,324909.1056707974,324921.81986029865,324933.8874307266,324947.89445427957,324960.7261584052,324974.13094596675,324986.80295566504,324999.4839709052,325014.1013893165,325026.72170374077,325039.4397513855,325052.08299338055,325064.5331646398,325078.87148822355,325091.64983258926,325105.34484682884,325118.6276362377,325131.96207281406,325146.99569927645,325161.0204356527,325174.76223830046,325189.2678186576,325202.2133909329,325216.2196544027,325229.56588669954,325244.19754464284,325257.4762931034,317180.0300184729,317036.170835899,314974.6436845751,314985.7024611299,314996.2043950123
channel_2,-232742.9190270936,-232741.63362068965,-232740.81681034484,-232739.92326046797,-232739.0905172414,-232738.46159174878,-232737.66610221675,-232736.91202278325,-232736.34221059113,-232735.9186422414,-232735.49669027093,-232734.59906096058,-232734.14424261084,-232734.2913331281,-232733.63354371922,-232734.0822044335,-232732.5735067734,-232732.24145628078,-232732.4572044335,-232731.55772783252,-232731.29656711823,-232731.18603756157,-232729.78525246304,-232729.85129310345,-232728.76531711823,-232728.38285098522,-232727.83181958128,-232727.41340825122,-232727.42980295565,-232727.19004002464,-232727.28186576354,-232726.33228140394,-232726.80018472907,-232726.44234913794,-232725.99545874386,-232725.89154864533,-232725.25369458128,-232724.29256465516,-232723.87138238916,-232722.6383158867,-232721.77640086206,-232720.8467518473,-232720.46366995072,-232720.03525246304,-232719.53933189655,-232719.49515086206,-232718.69781403942,-232718.69188731528,-232718.999307266,-232718.2979525862,-232718.19512007388,-232716.8285098522,-232715.89201046797,-232715.07466133006,-232713.4699815271,-232712.60113916255,-232710.36514778325,-232709.5797413793,-232709.25400246304,-232709.13308189655,-232709.63354371922,-232709.0145474138,-232708.98907019704,-232709.58636083745,-232709.28240455664,-232710.48514470443,-232710.38947044336,-232709.8883158867,-232709.74137931035,-232708.93226600986,-226992.14601293104,-225771.3494458128,-224645.43611453203,-224645.08158866994,-224643.969442734
channel_3,-241684.51200738916,-241683.6373922414,-241683.08089593597,-241682.35983682267,-241683.23129618226,-241682.7001231527,-241682.70166256157,-241682.1407789409,-241681.0457974138,-241681.30888238916,-241680.94242610838,-241681.10036945812,-241680.4415794335,-241680.26246921183,-241679.72413793104,-241680.538716133,-241679.6846520936,-241678.915794335,-241678.13485221675,-241677.67002770936,-241676.8245843596,-241677.08305110838,-241675.89316502464,-241675.45212438423,-241675.03217364533,-241674.4353448276,-241674.7326046798,-241674.17110529557,-241674.2444581281,-241674.62238300493,-241674.15817426107,-241673.92949507388,-241674.13377463055,-241673.3895474138,-241673.3719981527,-241672.60090825122,-241672.3162715517,-241671.3459051724,-241670.79125615762,-241670.65432573893,-241670.20520320197,-241670.27709359606,-241669.75600369458,-241669.05972906403,-241669.00985221675,-241669.06742610838,-241669.24638238916,-241668.52709359606,-241668.5062346059,-241668.82319889162,-241668.10929802957,-241667.60198583745,-241666.47683189655,-241664.69912253696,-241663.53848522168,-241662.836976601,-241661.82196736452,-241661.9119458128,-241661.60945197043,-241662.468057266,-241662.14539716748,-241661.50523399014,-241661.33197352217,-241661.35113916255,-241660.96382389162,-241661.118226601,-241661.4944581281,-241661.10591133006,-241660.5143934729,-241660.49268780788,-235709.90671182267,-234476.87138238916,-233299.48691502464,-233299.16048337438,-233298.83774630542
channel_4,-230890.4671336207,-230889.2209051724,-230888.44027093597,-230887.27601600986,-230887.6745689655,-230887.02032019704,-230886.68218903942,-230886.27416871922,-230885.1088362069,-230885.16379310345,-230884.366148399,-230883.84575123154,-230883.30957512316,-230882.6377770936,-230881.96020628078,-230882.5445658867,-230881.6239224138,-230880.89393472907,-230880.21336206896,-230880.1143780788,-230879.67279864533,-230879.58843903942,-230879.08790024632,-230878.35337130542,-230877.82219827586,-230877.43842364533,-230877.08543719212,-230876.85152401478,-230876.44889162562,-230877.00977524632,-230877.05865147783,-230876.6059883005,-230877.2191348522,-230876.49276477832,-230877.03294334977,-230876.56457820197,-230876.1056034483,-230875.95250923646,-230875.00962130542,-230875.04979987684,-230874.65971366994,-230874.11522475368,-230873.86191502464,-230872.83320504928,-230872.4665948276,-230872.31796490148,-230872.12169027093,-230871.9648245074,-230871.32573891626,-230871.35698891626,-230871.19542795565,-230870.66925800493,-230869.94181034484,-230868.81827278325,-230868.08459051725,-230867.3904710591,-230866.0294796798,-230866.84221059113,-230866.4504310345,-230867.32789408867,-230867.55972906403,-230867.39793719212,-230867.98891625614,-230868.3313577586,-230868.3435960591,-230869.18442118226,-230869.64308805417,-230869.91925800493,-230869.25823583745,-230869.64424261084,-225186.80718903942,-224005.76370073893,-222881.52870997536,-222881.01639470443,-222880.9467364532
channel_5,-309702.95350985223,-309692.1794950739,-309690.22152093594,-309694.15563423646,-309685.4014778325,-309697.60329433496,-309689.76462438423,-309689.7224445813,-309693.14747536945,-309681.68118842365,-309692.224137931,-309681.8251231527,-309679.5427955665,-309684.148091133,-309674.5929802956,-309686.63839285716,-309677.7673953202,-309674.4141009852,-309675.4806034483,-309662.4824507389,-309666.9502770936,-309650.50169334974,-309640.4759852217,-309640.57312192116,-309627.48799261084,-309637.9050184729,-309630.0728140394,-309628.7874076355,-309635.84790640394,-309625.648091133,-309635.34544334974,-309630.141317734,-309632.0275554187,-309636.85437192116,-309624.12346059113,-309634.12915640394,-309627.82912561577,-309626.5581896552,-309630.69304187194,-309617.2315270936,-309627.73429802957,-309622.21921182267,-309621.9584359606,-309625.84328817733,-309613.97429187194,-309623.42764778325,-309614.9282635468,-309615.3512931034,-309625.5440270936,-309616.5204741379,-309626.5110837438,-309621.3523706897,-309623.9778325123,-309632.68457512313,-309622.10113916255,-309630.80865147786,-309622.1911945813,-309620.5197044335,-309627.51924261084,-309616.02678571426,-309623.5822044335,-309615.73106527096,-309614.7697044335,-309621.8811576355,-309608.6958128079,-309618.4916871921,-309611.52924876846,-309607.2478448276,-309609.6088362069,-309598.048953202,-301953.3278940887,-300369.2295258621,-298874.4285714286,-298888.55957512313,-298872.83928571426
channel_6,-217214.33890086206,-217212.63292795565,-217212.85906711823,-217211.96036022168,-217212.32019704435,-217212.4559729064,-217211.97952586206,-217212.131773399,-217210.23006465516,-217210.5491841133,-217210.20466440887,-217209.78432881774,-217210.73129618226,-217209.49861453203,-217209.57750923646,-217209.68657635467,-217207.7816348522,-217207.86422413794,-217206.55126231528,-217205.96405480296,-217204.86360837438,-217204.61745689655,-217204.19573583745,-217202.99137931035,-217203.16117610838,-217202.93349753696,-217202.7957974138,-217203.57381465516,-217202.727601601,-217203.14177955664,-217203.21351600986,-217201.89924568965,-217202.83612992612,-217200.75985221675,-217200.98753078817,-217200.46967364533,-217199.06850369458,-217198.8308189655,-217196.5381773399,-217196.69481219212,-217196.35845135467,-217195.96351600986,-217196.35575738916,-217195.18834667487,-217195.77778633006,-217196.04926108374,-217194.6857296798,-217194.9698275862,-217193.88531403942,-217194.80988300493,-217195.25346366994,-217194.83174261084,-217196.1199969212,-217195.85221674878,-217196.85106219212,-217197.5051570197,-217197.15363300493,-217199.26231527093,-217199.3311268473,-217200.8559883005,-217200.97167487684,-217200.26701046797,-217202.21143780788,-217201.15255541872,-217201.68565270936,-217202.63331280788,-217202.04102524632,-217202.39601293104,-217201.48745381774,-217201.50723522168,-211857.624307266,-210745.54040948275,-209690.97914100986,-209689.72067426107,-209689.52532327586
channel_7,-213464.9881465517,-213462.74299568965,-213462.04879926107,-213461.43280480296,-213461.17141317733,-213461.14085591133,-213459.633851601,-213459.0612684729,-213458.10568041872,-213457.36814963055,-213457.52032019704,-213456.51077586206,-213456.86191502464,-213457.390625,-213455.97275246304,-213457.3153479064,-213456.18557573893,-213456.10036945812,-213455.68165024632,-213454.6695658867,-213454.4268780788,-213453.83035714287,-213453.78278940887,-213453.35213977832,-213452.26316194583,-213452.16910406403,-213451.4207974138,-213450.679341133,-213450.18103448275,-213449.66079125614,-213449.86360837438,-213447.67787869458,-213448.381773399,-213448.06881157635,-213446.99022475368,-213446.81742610838,-213445.53833128078,-213445.4498922414,-213444.92002770936,-213443.1661791872,-213442.94134852217,-213441.4410406404,-213440.83297413794,-213439.96582512316,-213439.08582204435,-213439.36907327586,-213438.75153940887,-213438.39870689655,-213438.3399784483,-213437.6925030788,-213438.42018165023,-213436.91463977832,-213436.59936884238,-213435.94804495072,-213434.76447044336,-213434.83320504928,-213433.89208743843,-213434.2365301724,-213433.69119458128,-213433.31565578817,-213433.96451662562,-213433.12076662562,-213433.75877463055,-213434.18557573893,-213433.22560036945,-213434.67549261084,-213434.46351600986,-213434.19781403942,-213434.49530480296,-213433.7510775862,-208186.8861607143,-207075.91109913794,-206042.3563731527,-206042.2029710591,-206040.75046182267
channel_8,-204763.7095135468,-204763.06681034484,-204762.6901939655,-204761.1127616995,-204762.10891317733,-204761.3472906404,-204760.95897475368,-204760.91217672414,-204759.983682266,-204760.08066502464,-204759.27247536945,-204759.48699199507,-204758.71297721675,-204758.22529248768,-204758.00631157635,-204758.73683805417,-204758.23191194583,-204757.884544335,-204757.20604987684,-204757.09436576354,-204756.7528479064,-204757.56719519704,-204757.0747383005,-204757.2679341133,-204757.2760929803,-204756.96451662562,-204757.70874384238,-204757.37900246304,-204756.8900862069,-204757.31434729064,-204756.27286022168,-204756.60768165023,-204756.7743226601,-204756.00292487684,-204756.35675800493,-204755.70905172414,-204754.97259852217,-204754.43495997536,-204753.95797413794,-204754.02709359606,-204753.17772475368,-204753.13146551725,-204753.14816810345,-204752.50777401478,-204752.38362068965,-204752.83443657635,-204752.53332820197,-204752.4057112069,-204751.86530172414,-204752.2521551724,-204752.2406096059,-204752.31611761084,-204751.36306958128,-204750.0491841133,-204749.35968288177,-204748.6758004926,-204747.83582204435,-204748.25431034484,-204748.19966133006,-204749.6584051724,-204750.06734913794,-204749.47436884238,-204750.34028633006,-204751.30110837438,-204751.78987068965,-204752.2668565271,-204753.00577278325,-204753.06226908867,-204752.58181958128,-204752.54433497536,-199710.181419335,-198662.09636699507,-197664.69896859606,-197663.33235837438,-197662.65193965516
