index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
index,31096.666666666668,31097.666666666668,31098.666666666668,31099.666666666668,31100.666666666668,31101.666666666668,31102.666666666668,31103.666666666668,31104.666666666668,31105.666666666668,31106.666666666668,31107.666666666668,31108.666666666668,31109.666666666668,31110.666666666668,31111.666666666668,31112.666666666668,31113.666666666668,31114.666666666668,31115.666666666668,31116.666666666668,31117.666666666668,31118.666666666668,31119.666666666668,31120.666666666668,31121.666666666668,31122.666666666668,31123.666666666668,31124.666666666668,31125.666666666668,31126.666666666668,31127.666666666668,31128.666666666668,31129.666666666668,31130.666666666668,31131.666666666668,31132.666666666668,31133.666666666668,31134.666666666668,31135.666666666668,31136.666666666668,31137.666666666668,31138.666666666668,31139.666666666668,31140.666666666668,31141.666666666668,31142.666666666668,31143.666666666668,31144.666666666668,31145.666666666668,31146.666666666668,31147.666666666668,31148.666666666668,31149.666666666668,31150.666666666668,31151.666666666668,31152.666666666668,31153.666666666668,31154.666666666668,31155.666666666668,31156.666666666668,31157.666666666668,31158.666666666668,31159.666666666668,31160.666666666668,31161.666666666668,31162.666666666668,31163.666666666668,31164.666666666668,31165.666666666668,31166.666666666668,31167.666666666668,31168.666666666668,31169.666666666668,31170.666666666668
timeStamp,602326.6669239,602326.6670260333,602326.6670734333,602326.667091,602326.6671178667,602326.7215845332,602326.7216393,602326.7216537,602326.7216823334,602326.7217081666,602326.7467648332,602326.7468053334,602326.7468191,602326.7468314,602326.7468445332,602326.7916162332,602326.7917619,602326.7917922334,602326.7918123334,602326.7918336666,602326.8288284334,602326.8289422,602326.8289654,602326.8289810333,602326.8290009332,602326.8713624999,602326.8714105333,602326.8714308,602326.8714433666,602326.8714522,602326.9096162333,602326.9097455334,602326.9097590666,602326.9097808666,602326.9097984667,602326.9339072333,602326.9339858,602326.9340131,602326.9340223001,602326.9340321,602326.9777985334,602326.9778844,602326.9779037667,602326.9779159,602326.9779270333,602327.0230919,602327.0231730333,602327.0232058666,602327.0232196,602327.0232512,602327.0656701332,602327.0657531667,602327.0657792334,602327.0657920333,602327.0658063666,602327.0939380333,602327.0940235,602327.0940411667,602327.094054,602327.0940812667,602327.1304939999,602327.1305861333,602327.1306168,602327.1306558,602327.1306754333,602327.1760033999,602327.1760600667,602327.1760786666,602327.1760888001,602327.1761001666,602327.2221617667,602327.2222205667,602327.2222399333,602327.2222508,602327.2222621
channel_1,408499.7083333333,408486.3020833333,408448.3541666667,408428.3958333333,408407.9166666667,408392.53125,408405.1979166667,408408.5729166667,408425.4166666667,408432.8854166667,408437.2083333333,408452.75,408445.875,408459.03125,408461.8020833333,408463.8229166667,408480.2708333333,408477.28125,408496.90625,408504.125,408510.5520833333,408533.2916666667,408541.7916666667,408572.75,408589.2916666667,408612.15625,408647.5,408660.7916666667,408694.1354166667,408721.1979166667,408745.125,408788.1041666667,408811.5625,408850.4166666667,408873.5833333333,408888.3854166667,408922.09375,408932.1979166667,408955.8333333333,408975.6458333333,408992.6875,409020.5833333333,409025.84375,409046.6145833333,409062.0729166667,409075.4270833333,409099.3020833333,409104.3645833333,409129.8125,409146.09375,409161.4583333333,409193.46875,409208.5833333333,409242.6458333333,409270.6875,409291.875,409329.4375,409346.59375,409376.0104166667,409395.2395833333,409413.53125,409447.09375,409462.3541666667,409491.5833333333,409514.4166666667,409530.4479166667,409559.0,409568.65625,409589.9270833333,409611.1875,409625.3125,409657.46875,409673.15625,409702.7083333333,409716.4479166667
channel_2,-228994.09895833334,-228990.34375,-228994.39583333334,-229001.30729166666,-229000.921875,-229006.22916666666,-229008.015625,-229012.78645833334,-229014.15625,-229011.08333333334,-229014.75,-229010.16666666666,-229010.21875,-229010.28125,-229009.921875,-229010.04166666666,-229002.53125,-229004.765625,-228999.19270833334,-228998.484375,-229003.06770833334,-228999.28125,-229001.39583333334,-229002.50520833334,-229000.74479166666,-229002.73958333334,-228995.34895833334,-228996.78125,-228992.72916666666,-228988.61979166666,-228991.21354166666,-228985.78645833334,-228985.93229166666,-228978.36458333334,-228979.55729166666,-228981.61458333334,-228976.57291666666,-228977.02083333334,-228976.39583333334,-228971.86458333334,-228971.71875,-228963.72916666666,-228972.96875,-228972.07291666666,-228973.59375,-228970.61458333334,-228967.125,-228972.40104166666,-228971.390625,-228960.51041666666,-228961.70833333334,-228950.171875,-228950.35416666666,-228951.125,-228944.53645833334,-228950.94791666666,-228942.95833333334,-228940.57291666666,-228942.484375,-228948.32291666666,-228952.46354166666,-228943.64583333334,-228946.47395833334,-228945.16145833334,-228943.34375,-228943.88020833334,-228936.64583333334,-228937.203125,-228934.671875,-228923.85416666666,-228927.46354166666,-228920.8125,-228921.32291666666,-228920.125,-228920.90625
channel_3,-239193.671875,-239190.99479166666,-239186.015625,-239192.75,-239193.82291666666,-239188.48958333334,-239190.04166666666,-239187.27083333334,-239188.609375,-239187.50520833334,-239181.546875,-239184.13541666666,-239184.58333333334,-239185.57291666666,-239187.71875,-239180.328125,-239182.70833333334,-239181.8125,-239174.86979166666,-239180.6875,-239176.421875,-239179.84895833334,-239175.34895833334,-239176.86979166666,-239178.15104166666,-239174.21875,-239174.54166666666,-239172.60416666666,-239174.54166666666,-239174.01041666666,-239170.578125,-239176.8125,-239177.671875,-239178.03125,-239182.29166666666,-239180.203125,-239179.703125,-239177.61458333334,-239176.09375,-239174.15625,-239170.640625,-239171.11458333334,-239172.8125,-239177.13541666666,-239179.40104166666,-239172.1875,-239175.70833333334,-239179.16145833334,-239183.78645833334,-239181.84375,-239177.22395833334,-239174.72395833334,-239171.41666666666,-239170.33854166666,-239167.06770833334,-239166.94270833334,-239169.625,-239163.75520833334,-239166.10416666666,-239172.25,-239171.50520833334,-239171.328125,-239168.81770833334,-239170.84375,-239171.80208333334,-239169.77604166666,-239176.41666666666,-239177.19791666666,-239177.109375,-239174.09375,-239175.796875,-239177.61458333334,-239175.4375,-239176.546875,-239178.23958333334
channel_4,-228405.41666666666,-228402.34375,-228404.99479166666,-228408.98958333334,-228414.22916666666,-228413.43229166666,-228415.25,-228416.85416666666,-228414.85416666666,-228413.43229166666,-228410.89583333334,-228408.95833333334,-228413.84895833334,-228412.08854166666,-228415.09895833334,-228407.38020833334,-228408.60416666666,-228410.92708333334,-228401.20833333334,-228406.00520833334,-228406.66666666666,-228403.83854166666,-228402.16666666666,-228400.375,-228401.71875,-228398.5,-228396.38541666666,-228396.234375,-228390.92708333334,-228392.27083333334,-228391.67708333334,-228389.70833333334,-228391.28645833334,-228387.203125,-228392.328125,-228390.30729166666,-228385.71354166666,-228385.265625,-228380.38020833334,-228380.38020833334,-228375.48958333334,-228370.78125,-228375.375,-228375.25,-228375.91145833334,-228369.796875,-228365.328125,-228373.64583333334,-228371.08333333334,-228370.06770833334,-228370.09895833334,-228360.5,-228363.59895833334,-228359.99479166666,-228356.71354166666,-228354.84375,-228351.02083333334,-228351.26041666666,-228349.5625,-228355.26041666666,-228354.83854166666,-228350.546875,-228349.53645833334,-228348.43229166666,-228350.33854166666,-228348.36979166666,-228348.10416666666,-228351.55729166666,-228347.41145833334,-228344.05208333334,-228347.8125,-228343.1875,-228347.33333333334,-228345.83854166666,-228347.23958333334
channel_5,-304628.53125,-304523.8229166667,-304586.1875,-304632.4895833333,-304588.3645833333,-304774.9166666667,-304655.5833333333,-304668.59375,-304697.1354166667,-304619.8541666667,-304735.6145833333,-304585.7916666667,-304624.5833333333,-304661.3645833333,-304566.0625,-304693.5208333333,-304578.7916666667,-304630.3125,-304648.7604166667,-304544.4270833333,-304675.9791666667,-304575.8645833333,-304652.1354166667,-304717.4895833333,-304668.0208333333,-304815.0,-304695.5,-304737.9895833333,-304771.6354166667,-304676.1458333333,-304790.1354166667,-304638.0833333333,-304662.8020833333,-304673.53125,-304571.4270833333,-304721.4895833333,-304618.125,-304674.9270833333,-304727.8854166667,-304650.1666666667,-304797.1458333333,-304699.5520833333,-304759.2395833333,-304818.6041666667,-304732.4270833333,-304854.2291666667,-304729.375,-304759.8958333333,-304782.1354166667,-304670.5208333333,-304791.3125,-304663.21875,-304690.40625,-304734.5729166667,-304650.3645833333,-304797.3333333333,-304694.25,-304743.0,-304785.53125,-304689.8958333333,-304831.4791666667,-304751.2604166667,-304806.8645833333,-304848.53125,-304749.6979166667,-304877.6770833333,-304752.9479166667,-304763.9479166667,-304773.4270833333,-304637.1458333333,-304742.9895833333,-304628.4375,-304665.3333333333,-304701.2708333333,-304609.1458333333
channel_6,-214510.828125,-214501.3125,-214511.21354166666,-214504.68229166666,-214508.734375,-214507.78645833334,-214498.84375,-214508.265625,-214492.55208333334,-214503.19791666666,-214501.85416666666,-214498.83854166666,-214509.1875,-214496.21875,-214508.5,-214497.73958333334,-214495.625,-214505.58333333334,-214488.80208333334,-214497.97916666666,-214498.33854166666,-214494.34375,-214502.421875,-214489.45833333334,-214501.58854166666,-214499.171875,-214495.65625,-214503.22395833334,-214489.21354166666,-214496.875,-214496.09895833334,-214491.96354166666,-214506.65104166666,-214490.34895833334,-214502.328125,-214497.05208333334,-214485.671875,-214499.26041666666,-214488.53645833334,-214492.375,-214492.07291666666,-214483.734375,-214497.74479166666,-214488.77083333334,-214496.22395833334,-214489.96354166666,-214481.88541666666,-214497.171875,-214487.07291666666,-214494.9375,-214492.40625,-214483.640625,-214495.17708333334,-214479.35416666666,-214484.50520833334,-214486.50520833334,-214479.11458333334,-214487.3125,-214476.90625,-214487.98958333334,-214486.921875,-214479.55729166666,-214490.19791666666,-214475.984375,-214486.30208333334,-214489.03645833334,-214478.84375,-214492.31770833334,-214480.86979166666,-214486.59895833334,-214486.05729166666,-214478.27604166666,-214490.41145833334,-214477.89583333334,-214485.40625
channel_7,-210200.57291666666,-210188.5625,-210196.25,-210203.10416666666,-210199.08333333334,-210205.734375,-210200.03645833334,-210207.33854166666,-210205.703125,-210198.42708333334,-210204.15104166666,-210199.26041666666,-210206.47395833334,-210204.53645833334,-210202.57291666666,-210207.21875,-210197.41145833334,-210202.453125,-210189.27604166666,-210186.35416666666,-210198.81770833334,-210189.484375,-210194.61458333334,-210190.97395833334,-210186.359375,-210193.86979166666,-210185.01041666666,-210191.453125,-210181.34895833334,-210174.84895833334,-210184.8125,-210181.11458333334,-210187.3125,-210183.52083333334,-210179.38541666666,-210186.35416666666,-210178.375,-210183.22916666666,-210177.77083333334,-210167.97395833334,-210171.07291666666,-210162.578125,-210176.72916666666,-210173.75,-210167.33854166666,-210172.46875,-210164.51041666666,-210175.453125,-210171.66666666666,-210166.86979166666,-210172.55729166666,-210153.63020833334,-210162.83854166666,-210159.80208333334,-210151.640625,-210154.73958333334,-210141.6875,-210147.078125,-210142.96354166666,-210140.69791666666,-210146.296875,-210137.00520833334,-210144.06770833334,-210141.08333333334,-210140.13541666666,-210152.41145833334,-210144.63541666666,-210151.16145833334,-210149.16145833334,-210137.30729166666,-210146.15104166666,-210134.328125,-210138.55729166666,-210140.015625,-210135.27604166666
channel_8,-202543.52083333334,-202544.73958333334,-202542.71354166666,-202545.84375,-202549.09895833334,-202547.21354166666,-202551.11979166666,-202552.82291666666,-202553.89583333334,-202550.61458333334,-202543.34375,-202544.91666666666,-202540.33333333334,-202536.515625,-202538.39583333334,-202527.09895833334,-202530.109375,-202530.55729166666,-202523.52604166666,-202530.828125,-202522.11979166666,-202519.97916666666,-202514.88020833334,-202510.58854166666,-202513.71875,-202507.25,-202504.59895833334,-202504.89583333334,-202500.546875,-202502.60416666666,-202495.328125,-202494.64583333334,-202492.5,-202486.80729166666,-202491.06770833334,-202484.78125,-202481.61979166666,-202478.55208333334,-202477.33333333334,-202479.44791666666,-202473.30729166666,-202469.10416666666,-202474.34895833334,-202476.46875,-202486.59895833334,-202474.859375,-202477.90104166666,-202481.32291666666,-202479.59895833334,-202484.56770833334,-202481.265625,-202476.88541666666,-202478.90625,-202472.35416666666,-202472.14583333334,-202467.61979166666,-202469.703125,-202466.6875,-202465.38020833334,-202471.21875,-202471.06770833334,-202470.08854166666,-202466.96354166666,-202466.8125,-202468.38541666666,-202467.5,-202473.515625,-202472.17708333334,-202470.51041666666,-202465.94791666666,-202465.109375,-202466.15625,-202468.75,-202467.61458333334,-202473.421875
