index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
index,20640.0,20641.0,20642.0,20643.0,20644.0,20645.0,20646.0,20647.0,20648.0,20649.0,20650.0,20651.0,20652.0,20653.0,20654.0,20655.0,20656.0,20657.0,20658.0,20659.0,20660.0,20661.0,20662.0,20663.0,20664.0,20665.0,20666.0,20667.0,20668.0,20669.0,20670.0,20671.0,20672.0,20673.0,20674.0,20675.0,20676.0,20677.0,20678.0,20679.0,20680.0,20681.0,20682.0,20683.0,20684.0,20685.0,20686.0,20687.0,20688.0,20689.0,20690.0,20691.0,20692.0,20693.0,20694.0,20695.0,20696.0,20697.0,20698.0,20699.0,20700.0,20701.0,20702.0,20703.0,20704.0,20705.0,20706.0,20707.0,20708.0,20709.0,20710.0,20711.0,20712.0,20713.0,20714.0
timeStamp,602243.0560212999,602243.056178625,602243.056227425,602243.05625385,602243.0562836,602243.088447425,602243.08858425,602243.0886326,602243.0886634251,602243.0887033,602243.132355625,602243.13247275,602243.1325008001,602243.1325305001,602243.1325464,602243.1629422749,602243.1630655499,602243.163085425,602243.163101775,602243.16312955,602243.214150775,602243.214242625,602243.2142540499,602243.21426495,602243.214277475,602243.2563322,602243.2563807999,602243.25639965,602243.256419525,602243.2564399501,602243.287115325,602243.287244375,602243.2872974,602243.2873204751,602243.287348,602243.3199472,602243.3200592999,602243.320085075,602243.3201046999,602243.320126225,602243.365142075,602243.365219775,602243.365248,602243.365264775,602243.365283675,602243.40932215,602243.409413375,602243.4094638249,602243.4094913,602243.4095033,602243.446801575,602243.446895575,602243.4469122749,602243.4469389,602243.446956475,602243.482196775,602243.4822961501,602243.482320725,602243.482451475,602243.482471925,602243.51913515,602243.51922835,602243.519248425,602243.519266275,602243.5192779,602243.560613875,602243.5606637499,602243.5606922,602243.56070835,602243.5607286249,602243.597831575,602243.597909725,602243.5979239249,602243.597940525,602243.5979591501
channel_1,271120.931640625,271147.328125,271156.162109375,271181.4443359375,271201.326171875,271214.328125,271241.1962890625,271247.0,271268.0625,271285.5869140625,271295.1201171875,271322.2197265625,271331.29296875,271353.7607421875,271370.802734375,271378.9130859375,271407.5703125,271412.517578125,271430.6455078125,271444.09765625,271448.2080078125,271467.3857421875,271461.11328125,271471.365234375,271482.1005859375,271485.4189453125,271507.267578125,271511.5595703125,271528.5654296875,271546.0947265625,271552.0205078125,271576.2275390625,271583.951171875,271605.8349609375,271625.0380859375,271636.6181640625,271672.869140625,271691.931640625,271728.619140625,271769.8818359375,271801.6796875,271851.0791015625,271872.962890625,271908.896484375,271934.4814453125,271944.19140625,271971.8037109375,271979.4169921875,272004.5693359375,272022.072265625,272032.701171875,272063.9443359375,272071.6904296875,272095.587890625,272113.3173828125,272124.8203125,272154.7490234375,272164.515625,272186.5107421875,272210.0849609375,272217.880859375,272238.1220703125,272240.5,272256.68359375,272273.0595703125,272275.466796875,272292.4453125,272286.91796875,272293.857421875,272297.46875,272296.6630859375,272308.302734375,272295.68359375,272293.39453125,272283.046875
channel_2,-235238.20703125,-235236.53125,-235232.5078125,-235226.828125,-235219.140625,-235217.08203125,-235215.96484375,-235217.5546875,-235217.796875,-235213.6875,-235213.2421875,-235211.94140625,-235209.57421875,-235208.8359375,-235204.1015625,-235208.609375,-235204.59375,-235202.33203125,-235206.08984375,-235205.66015625,-235206.4921875,-235203.78515625,-235202.3125,-235200.92578125,-235200.63671875,-235204.48046875,-235205.546875,-235200.2734375,-235200.1875,-235192.94140625,-235191.7578125,-235195.22265625,-235193.39453125,-235195.72265625,-235192.875,-235195.828125,-235193.078125,-235190.625,-235197.9765625,-235199.42578125,-235203.94140625,-235204.51953125,-235212.12109375,-235217.53125,-235210.421875,-235213.28515625,-235215.58984375,-235213.87109375,-235214.46875,-235210.04296875,-235211.56640625,-235208.765625,-235204.1875,-235203.80859375,-235197.7265625,-235194.0390625,-235188.3671875,-235185.38671875,-235187.3359375,-235184.65234375,-235186.05859375,-235186.7734375,-235189.234375,-235189.61328125,-235190.328125,-235191.2421875,-235187.04296875,-235186.30859375,-235185.96875,-235183.06640625,-235181.01171875,-235175.84375,-235173.1875,-235169.609375,-235165.38671875
channel_3,-243210.9609375,-243215.03125,-243212.75,-243212.796875,-243210.9609375,-243206.8046875,-243207.67578125,-243208.34765625,-243208.2109375,-243207.140625,-243206.4296875,-243209.21875,-243206.984375,-243210.16015625,-243209.9765625,-243211.23046875,-243209.828125,-243210.921875,-243213.4453125,-243214.8046875,-243211.30078125,-243211.51953125,-243210.515625,-243208.3671875,-243209.19921875,-243206.37890625,-243208.4140625,-243204.7265625,-243201.44140625,-243197.91015625,-243195.65234375,-243198.78125,-243196.1875,-243196.8984375,-243195.828125,-243197.4609375,-243198.53125,-243197.93359375,-243200.88671875,-243199.453125,-243198.37890625,-243194.265625,-243193.91015625,-243193.37109375,-243185.76953125,-243182.95703125,-243186.8046875,-243185.640625,-243185.5703125,-243183.625,-243183.828125,-243187.06640625,-243186.15625,-243190.22265625,-243190.2890625,-243182.33203125,-243178.5078125,-243174.7109375,-243180.36328125,-243180.1171875,-243179.44921875,-243181.8828125,-243181.28125,-243184.76953125,-243187.96484375,-243185.5703125,-243183.6015625,-243183.58203125,-243185.99609375,-243187.6484375,-243182.39453125,-243182.0859375,-243179.7578125,-243178.734375,-243179.37890625
channel_4,-232404.85546875,-232403.47265625,-232402.44140625,-232399.8515625,-232399.31640625,-232396.49609375,-232391.734375,-232393.58984375,-232393.09765625,-232390.2578125,-232388.33984375,-232385.51953125,-232386.32421875,-232383.109375,-232380.89453125,-232384.11328125,-232378.9296875,-232380.22265625,-232381.02734375,-232384.359375,-232385.34375,-232386.640625,-232389.296875,-232385.4765625,-232383.5546875,-232385.453125,-232387.9140625,-232391.19921875,-232390.62109375,-232388.36328125,-232390.55078125,-232389.3203125,-232386.703125,-232384.89453125,-232385.234375,-232387.51171875,-232385.43359375,-232386.79296875,-232389.87890625,-232390.28125,-232390.6640625,-232389.94921875,-232397.12109375,-232398.7109375,-232395.28515625,-232397.30078125,-232397.234375,-232399.78125,-232392.7421875,-232391.0,-232393.8359375,-232392.51953125,-232392.0703125,-232394.62109375,-232392.76171875,-232382.68359375,-232377.1171875,-232376.984375,-232377.94140625,-232375.52734375,-232378.83984375,-232380.5625,-232381.0078125,-232380.984375,-232383.82421875,-232382.6640625,-232376.828125,-232376.98046875,-232376.08984375,-232376.6484375,-232373.8125,-232370.3203125,-232372.3828125,-232370.72265625,-232371.328125
channel_5,-313451.515625,-313348.2265625,-313413.6953125,-313366.984375,-313326.9765625,-313384.2265625,-313289.25,-313380.7265625,-313360.078125,-313317.2578125,-313354.1484375,-313251.71875,-313334.578125,-313308.3359375,-313304.0,-313400.9375,-313325.03125,-313419.1796875,-313401.125,-313388.6875,-313466.8828125,-313389.0859375,-313474.3515625,-313422.890625,-313361.53125,-313412.1171875,-313300.421875,-313356.0390625,-313320.40625,-313292.546875,-313366.8671875,-313273.984375,-313348.4140625,-313315.8984375,-313299.90625,-313386.03125,-313303.421875,-313386.84375,-313363.0234375,-313338.6875,-313429.7109375,-313345.1796875,-313419.7578125,-313389.4453125,-313361.3984375,-313441.1328125,-313348.53125,-313414.5078125,-313362.1015625,-313318.53125,-313393.3125,-313292.21875,-313359.828125,-313336.546875,-313320.0703125,-313404.3515625,-313302.046875,-313367.5703125,-313330.328125,-313280.890625,-313351.7421875,-313269.3828125,-313355.5625,-313334.1484375,-313300.5546875,-313376.84375,-313283.7734375,-313372.640625,-313362.375,-313336.1875,-313394.390625,-313275.640625,-313337.6796875,-313311.203125,-313271.4296875
channel_6,-218565.7265625,-218560.1171875,-218566.84375,-218559.4921875,-218562.98046875,-218564.90234375,-218556.83203125,-218564.4765625,-218558.6640625,-218561.14453125,-218560.5625,-218550.640625,-218559.69140625,-218551.15625,-218552.6953125,-218559.875,-218549.76953125,-218563.33984375,-218558.9140625,-218562.98046875,-218562.19921875,-218554.3515625,-218560.23046875,-218547.6484375,-218547.265625,-218553.4140625,-218547.91796875,-218558.73046875,-218551.2421875,-218551.578125,-218554.109375,-218548.76171875,-218553.68359375,-218545.32421875,-218548.3828125,-218556.07421875,-218547.734375,-218556.4296875,-218553.94921875,-218552.02734375,-218553.90234375,-218543.04296875,-218553.3671875,-218542.83984375,-218539.17578125,-218543.87109375,-218539.33203125,-218547.60546875,-218535.8671875,-218539.2890625,-218545.296875,-218539.7109375,-218547.75390625,-218538.640625,-218540.47265625,-218534.5,-218526.30078125,-218533.67578125,-218527.68359375,-218531.53125,-218534.3046875,-218528.3984375,-218536.11328125,-218530.8359375,-218534.5234375,-218535.70703125,-218526.12109375,-218534.9296875,-218526.6796875,-218536.06640625,-218535.265625,-218524.265625,-218534.9296875,-218528.1328125,-218534.88671875
channel_7,-215338.58203125,-215335.69921875,-215335.9921875,-215333.41796875,-215327.49609375,-215326.203125,-215326.47265625,-215327.43359375,-215324.5234375,-215323.7421875,-215323.0234375,-215316.5234375,-215313.75390625,-215311.359375,-215310.28515625,-215313.8203125,-215304.8984375,-215310.10546875,-215311.71484375,-215310.26171875,-215311.8046875,-215310.82421875,-215314.84765625,-215313.703125,-215312.5,-215313.703125,-215313.59375,-215313.63671875,-215312.5234375,-215309.9296875,-215313.1015625,-215311.3359375,-215309.640625,-215304.74609375,-215304.33984375,-215307.44921875,-215305.74609375,-215311.60546875,-215313.9765625,-215315.4921875,-215320.1875,-215314.4453125,-215320.90234375,-215317.5546875,-215313.640625,-215318.1328125,-215313.6171875,-215317.6171875,-215313.39453125,-215308.69921875,-215312.9921875,-215312.4765625,-215312.05078125,-215314.21875,-215314.22265625,-215310.1484375,-215302.80078125,-215302.21875,-215306.21875,-215301.92578125,-215300.5859375,-215300.09375,-215303.89453125,-215302.80078125,-215299.29296875,-215299.6484375,-215291.88671875,-215292.55859375,-215291.375,-215288.89453125,-215289.45703125,-215280.87109375,-215283.23828125,-215284.0,-215285.25
channel_8,-206160.10546875,-206158.74609375,-206160.66796875,-206155.484375,-206151.50390625,-206148.34765625,-206143.36328125,-206149.44921875,-206146.046875,-206145.3984375,-206142.31640625,-206137.48828125,-206139.76953125,-206137.51171875,-206134.0234375,-206138.08984375,-206131.18359375,-206142.02734375,-206142.828125,-206145.6015625,-206148.171875,-206148.86328125,-206152.93359375,-206149.9609375,-206155.27734375,-206157.8515625,-206159.2578125,-206166.02734375,-206166.25390625,-206166.34375,-206162.43359375,-206164.734375,-206165.8984375,-206161.203125,-206158.87890625,-206161.11328125,-206154.69921875,-206160.98046875,-206159.43359375,-206155.4140625,-206158.078125,-206158.27734375,-206168.30859375,-206167.4609375,-206161.359375,-206169.44921875,-206170.03515625,-206173.2265625,-206167.6875,-206168.40234375,-206170.25390625,-206165.62890625,-206166.3671875,-206164.203125,-206163.5703125,-206155.234375,-206146.03125,-206146.1171875,-206141.04296875,-206139.12109375,-206143.41015625,-206143.92578125,-206148.41796875,-206147.09765625,-206150.09375,-206145.421875,-206140.0390625,-206144.5703125,-206138.515625,-206139.609375,-206132.703125,-206126.109375,-206128.34765625,-206123.42578125,-206129.51171875
