index,timeStamp,description
0,1187999.7093,START
1,1188004.1719,startBlock
2,1188004.5065,baseLine
3,1188006.1468,baseLine
4,1188007.8011,baseLine
5,1188009.4444,baseLine
6,1188011.0962,baseLine
7,1188012.7414,baseLine
8,1188014.3648,baseLine
9,1188015.9835,baseLine
10,1188017.6208,baseLine
11,1188019.2436,baseLine
12,1188021.2707,baseLine
13,1188022.9210,baseLine
14,1188024.5166,baseLine
15,1188026.1216,baseLine
16,1188027.7553,baseLine
17,1188029.3730,baseLine
18,1188030.9854,baseLine
19,1188032.5958,distractor
20,1188034.2332,distractor
21,1188035.8496,target
22,1188037.4734,baseLine
23,1188039.0805,baseLine
24,1188040.7075,baseLine
25,1188042.3521,baseLine
26,1188043.9825,baseLine
27,1188045.5982,baseLine
28,1188047.2503,baseLine
29,1188048.9014,baseLine
30,1188050.5391,baseLine
31,1188052.1874,target
32,1188062.3049,startBlock
33,1188062.5157,baseLine
34,1188064.1514,baseLine
35,1188065.7656,baseLine
36,1188067.3718,baseLine
37,1188068.9536,baseLine
38,1188070.5612,baseLine
39,1188072.1728,baseLine
40,1188073.7779,target
41,1188075.3781,distractor
42,1188076.9843,target
43,1188078.5931,baseLine
44,1188080.2197,baseLine
45,1188081.8335,baseLine
46,1188083.4526,baseLine
47,1188085.0609,distractor
48,1188086.6738,baseLine
49,1188088.2638,baseLine
50,1188089.8765,baseLine
51,1188091.4927,distractor
52,1188093.1047,baseLine
53,1188094.6901,baseLine
54,1188096.3028,target
55,1188097.8930,baseLine
56,1188099.4960,baseLine
57,1188101.0994,baseLine
58,1188102.6812,distractor
59,1188104.2712,baseLine
60,1188105.8667,distractor
61,1188107.4745,baseLine
62,1188109.0908,target
63,1188114.3348,startBlock
64,1188114.5406,baseLine
65,1188116.1556,baseLine
66,1188117.7512,baseLine
67,1188119.3664,baseLine
68,1188120.9690,target
69,1188122.5677,baseLine
70,1188124.1654,baseLine
71,1188125.7546,baseLine
72,1188127.3682,baseLine
73,1188128.9931,baseLine
74,1188130.5788,baseLine
75,1188132.1795,baseLine
76,1188133.7671,baseLine
77,1188135.3679,distractor
78,1188136.9707,baseLine
79,1188138.5763,target
80,1188140.1773,baseLine
81,1188141.7860,baseLine
82,1188143.3905,baseLine
83,1188144.9958,target
84,1188146.6097,target
85,1188148.2218,baseLine
86,1188149.8437,baseLine
87,1188151.4365,distractor
88,1188153.0294,baseLine
89,1188154.6440,baseLine
90,1188156.2556,distractor
91,1188157.8680,baseLine
92,1188159.4722,distractor
93,1188161.0840,distractor
94,1188164.3029,startBlock
95,1188164.5044,baseLine
96,1188166.1171,baseLine
97,1188167.7173,baseLine
98,1188169.3196,baseLine
99,1188170.9130,baseLine
100,1188172.5367,target
101,1188174.1493,target
102,1188175.7339,baseLine
103,1188177.3368,baseLine
104,1188178.9840,baseLine
105,1188180.6013,baseLine
106,1188182.2102,distractor
107,1188183.8158,baseLine
108,1188185.4383,baseLine
109,1188187.0513,target
110,1188188.6614,baseLine
111,1188190.2968,baseLine
112,1188191.9107,baseLine
113,1188193.5129,baseLine
114,1188195.1002,target
115,1188196.6939,baseLine
116,1188198.3088,baseLine
117,1188199.9207,distractor
118,1188201.5279,baseLine
119,1188203.1606,baseLine
120,1188204.7589,baseLine
121,1188206.3635,baseLine
122,1188207.9795,baseLine
123,1188209.5931,baseLine
124,1188211.2069,baseLine
125,1188214.9788,startBlock
126,1188215.1859,baseLine
127,1188216.7812,baseLine
128,1188218.3789,target
129,1188219.9932,baseLine
130,1188221.6162,distractor
131,1188223.2380,baseLine
132,1188224.8660,baseLine
133,1188226.4825,baseLine
134,1188228.3710,target
135,1188229.9759,baseLine
136,1188231.5810,distractor
137,1188233.1903,distractor
138,1188234.8080,baseLine
139,1188236.4230,baseLine
140,1188238.0780,baseLine
141,1188239.6607,baseLine
142,1188241.2671,baseLine
143,1188242.8557,baseLine
144,1188244.4570,target
145,1188246.0893,baseLine
146,1188247.7073,baseLine
147,1188249.3293,distractor
148,1188250.9352,distractor
149,1188252.5335,baseLine
150,1188254.1570,distractor
151,1188255.7629,baseLine
152,1188257.3767,baseLine
153,1188258.9815,baseLine
154,1188260.6005,distractor
155,1188262.2440,baseLine
