5.3986 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.3079 	WARNING 	Monitor specification not found. Creating a temporary one...
6.3141 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1120, 700]. Using actual size
146809.4167 	EXP 	START
146811.4969 	DATA 	Keypress: space
146811.4985 	EXP 	startBlock
146811.5154 	EXP 	distractor
146812.9195 	EXP 	target
146814.3250 	EXP 	baseLine
146815.7316 	EXP 	target
146817.1349 	EXP 	distractor
146818.5392 	EXP 	baseLine
146819.9428 	EXP 	baseLine
146821.3483 	EXP 	baseLine
146822.7540 	EXP 	distractor
146824.1597 	EXP 	baseLine
146825.5642 	EXP 	baseLine
146826.9680 	EXP 	baseLine
146828.3749 	EXP 	baseLine
146829.7822 	EXP 	baseLine
146831.1853 	EXP 	baseLine
146832.5914 	EXP 	baseLine
146833.9964 	EXP 	baseLine
146835.4003 	EXP 	baseLine
146836.8072 	EXP 	target
146838.2117 	EXP 	baseLine
146839.6156 	EXP 	baseLine
146841.0190 	EXP 	baseLine
146842.4223 	EXP 	baseLine
146843.8296 	EXP 	target
146845.2337 	EXP 	baseLine
146846.6394 	EXP 	baseLine
146848.0455 	EXP 	baseLine
146849.4531 	EXP 	target
146850.8575 	EXP 	distractor
146852.2623 	EXP 	distractor
146853.6669 	EXP 	baseLine
146855.0708 	EXP 	baseLine
146856.4738 	EXP 	baseLine
146857.8775 	EXP 	baseLine
146859.2857 	EXP 	target
146860.6915 	EXP 	target
146862.0982 	EXP 	baseLine
146863.5032 	EXP 	baseLine
146864.9112 	EXP 	baseLine
146866.3167 	EXP 	baseLine
146867.7203 	EXP 	baseLine
146869.1260 	EXP 	baseLine
146870.5306 	EXP 	distractor
146871.9341 	EXP 	baseLine
146873.3383 	EXP 	baseLine
146874.7473 	EXP 	distractor
146876.1545 	EXP 	baseLine
146877.5606 	EXP 	distractor
146878.9654 	EXP 	baseLine
146880.3713 	EXP 	baseLine
146881.7758 	EXP 	distractor
146883.1804 	EXP 	baseLine
146884.5851 	EXP 	distractor
146885.9887 	EXP 	baseLine
146887.3921 	EXP 	baseLine
146888.7954 	EXP 	baseLine
146890.2073 	EXP 	baseLine
146891.6141 	EXP 	distractor
146893.0187 	EXP 	baseLine
146894.4243 	EXP 	target
146895.8286 	EXP 	baseLine
146897.2317 	EXP 	distractor
146898.6374 	EXP 	baseLine
146900.0411 	EXP 	baseLine
146901.4460 	EXP 	baseLine
146902.8510 	EXP 	baseLine
146904.2551 	EXP 	target
146905.6618 	EXP 	distractor
146907.0670 	EXP 	baseLine
146908.4727 	EXP 	baseLine
146909.8767 	EXP 	baseLine
146911.2827 	EXP 	baseLine
146912.6866 	EXP 	baseLine
146914.0908 	EXP 	baseLine
146915.4948 	EXP 	baseLine
146916.8996 	EXP 	baseLine
146918.3067 	EXP 	baseLine
146919.7121 	EXP 	target
146921.1162 	EXP 	target
146922.5218 	EXP 	baseLine
146923.9254 	EXP 	baseLine
146925.3284 	EXP 	baseLine
146926.7322 	EXP 	baseLine
146928.1368 	EXP 	baseLine
146929.5412 	EXP 	baseLine
146930.9448 	EXP 	baseLine
146932.3521 	EXP 	baseLine
146933.7580 	EXP 	baseLine
146935.1657 	EXP 	baseLine
146936.5713 	EXP 	distractor
146937.9758 	EXP 	baseLine
146939.3796 	EXP 	baseLine
146940.7840 	EXP 	distractor
146942.1895 	EXP 	baseLine
146943.5946 	EXP 	baseLine
146944.9982 	EXP 	baseLine
146946.4029 	EXP 	baseLine
146947.8065 	EXP 	baseLine
146949.2113 	EXP 	baseLine
146950.6164 	EXP 	baseLine
146952.0200 	EXP 	baseLine
146953.4238 	EXP 	baseLine
146954.8281 	EXP 	baseLine
146956.2308 	EXP 	baseLine
146957.6392 	EXP 	baseLine
146959.0439 	EXP 	baseLine
146960.4471 	EXP 	baseLine
146961.8529 	EXP 	baseLine
