index,timeStamp,description
0,323020.4146,START
1,323022.8789,startBlock
2,323022.8977,baseLine
3,323024.3038,distractor
4,323025.7098,baseLine
5,323027.1132,baseLine
6,323028.5195,target
7,323029.9264,baseLine
8,323031.3304,baseLine
9,323032.7378,baseLine
10,323034.1485,baseLine
11,323035.5562,baseLine
12,323036.9630,baseLine
13,323038.3694,baseLine
14,323039.7751,baseLine
15,323041.1794,baseLine
16,323042.5839,baseLine
17,323043.9886,baseLine
18,323045.3939,target
19,323046.8004,target
20,323048.2060,baseLine
21,323049.6129,baseLine
22,323051.0158,baseLine
23,323052.4224,baseLine
24,323053.8301,baseLine
25,323055.2344,distractor
26,323056.6388,baseLine
27,323058.0428,baseLine
28,323059.4519,baseLine
29,323060.8556,baseLine
30,323062.2669,baseLine
31,323063.6743,baseLine
32,323065.0783,baseLine
33,323066.4847,baseLine
34,323067.8895,baseLine
35,323069.2940,baseLine
36,323070.6988,baseLine
37,323072.1047,baseLine
38,323073.5104,target
39,323074.9176,baseLine
40,323076.3219,distractor
41,323077.7305,target
42,323079.1341,baseLine
43,323080.5388,baseLine
44,323081.9454,target
45,323083.3504,baseLine
46,323084.7541,baseLine
47,323086.1572,baseLine
48,323087.5671,baseLine
49,323088.9703,baseLine
50,323090.3743,baseLine
51,323091.7789,baseLine
52,323093.1849,baseLine
53,323094.5958,target
54,323096.0034,baseLine
55,323097.4080,baseLine
56,323098.8125,baseLine
57,323100.2169,baseLine
58,323101.6222,baseLine
59,323103.0332,baseLine
60,323104.4441,baseLine
61,323105.8488,distractor
62,323107.2529,distractor
63,323108.6574,baseLine
64,323110.0656,baseLine
65,323111.4695,target
66,323112.8746,target
67,323114.2794,baseLine
68,323115.6856,baseLine
69,323117.0894,distractor
70,323118.4947,target
71,323119.8986,distractor
72,323121.3027,baseLine
73,323122.7065,baseLine
74,323124.1105,baseLine
75,323125.5164,target
76,323126.9210,target
77,323128.3243,baseLine
78,323129.7295,baseLine
79,323131.1350,baseLine
80,323132.5404,baseLine
81,323133.9475,baseLine
82,323135.3497,baseLine
83,323136.7532,baseLine
84,323138.1580,baseLine
85,323139.5672,distractor
86,323140.9729,baseLine
87,323142.3766,baseLine
88,323143.7834,baseLine
89,323145.1883,distractor
90,323146.5926,baseLine
91,323148.0013,baseLine
92,323149.4070,baseLine
93,323150.8122,baseLine
94,323152.2187,baseLine
95,323153.6231,baseLine
96,323155.0271,baseLine
97,323156.4302,baseLine
98,323157.8349,target
99,323159.2416,baseLine
100,323160.6452,baseLine
101,323162.0502,distractor
102,323163.4552,baseLine
103,323164.8601,baseLine
104,323166.2640,baseLine
105,323167.6706,baseLine
106,323169.0753,baseLine
107,323170.4814,baseLine
108,323171.8843,baseLine
109,323173.2898,target
110,323174.6944,baseLine
111,323176.1031,baseLine
112,323177.5101,distractor
113,323178.9178,target
114,323180.3250,baseLine
115,323181.7306,target
116,323183.1358,target
117,323184.5413,target
118,323185.9452,baseLine
119,323187.3530,baseLine
120,323188.7567,distractor
121,323190.1617,baseLine
122,323191.5652,baseLine
123,323192.9685,baseLine
124,323194.3717,distractor
125,323195.7830,baseLine
126,323197.1875,baseLine
127,323198.5964,baseLine
128,323200.0008,baseLine
129,323201.4149,target
130,323202.8206,distractor
131,323204.2247,baseLine
132,323205.6296,baseLine
133,323207.0336,distractor
134,323208.4410,baseLine
135,323209.8483,baseLine
136,323211.2546,baseLine
137,323212.6629,baseLine
138,323214.0710,baseLine
139,323215.4757,baseLine
140,323216.8804,baseLine
141,323218.2881,baseLine
142,323219.6966,baseLine
143,323221.1018,baseLine
144,323222.5051,baseLine
145,323223.9089,baseLine
146,323225.3133,baseLine
147,323226.7181,target
148,323228.1215,target
149,323229.5251,baseLine
150,323230.9301,baseLine
151,323232.3354,baseLine
152,323233.7412,baseLine
153,323235.1490,baseLine
154,323236.5546,baseLine
155,323237.9648,target
156,323239.3689,target
157,323240.7752,distractor
158,323242.1841,baseLine
159,323243.5901,baseLine
160,323244.9941,target
161,323246.3997,baseLine
162,323247.8057,target
163,323249.2095,target
164,323250.6155,baseLine
165,323252.0199,baseLine
166,323253.4256,target
167,323254.8340,baseLine
168,323256.2372,distractor
169,323257.6428,distractor
170,323259.0484,distractor
171,323260.4521,distractor
172,323261.8575,baseLine
173,323263.2611,baseLine
174,323264.6681,target
175,323266.0747,baseLine
176,323267.4819,baseLine
177,323268.8891,baseLine
178,323270.2934,baseLine
179,323271.7007,baseLine
180,323273.1032,baseLine
181,323274.5083,baseLine
182,323275.9126,baseLine
183,323277.3157,baseLine
184,323278.7211,baseLine
185,323280.1324,baseLine
186,323281.5357,baseLine
187,323282.9418,distractor
188,323284.3509,baseLine
189,323285.7580,baseLine
190,323287.1680,baseLine
191,323288.5726,target
192,323289.9765,baseLine
193,323291.3805,baseLine
194,323292.7835,target
