,time stamp,shape,type of stimulus
0,1994284.0921087,square,target
1,1994285.1577516,square,target
2,1994286.2274408,circle,base line
3,1994287.2995597,square,target
4,1994288.354427,circle,base line
5,1994289.4104609,square,target
6,1994290.4500676,triangle,distractor
7,1994291.496696,square,target
8,1994292.5462751,square,target
9,1994293.5872058,circle,base line
10,1994294.6447414,square,target
11,1994295.6861748,square,target
12,1994298.7977152,square,base line
13,1994299.855565,square,base line
14,1994300.9398746,circle,target
15,1994301.9937046,square,base line
16,1994303.0372572,square,base line
17,1994304.1110594,triangle,distractor
18,1994305.2319824,square,base line
19,1994306.2813801,square,base line
20,1994307.3204756,circle,target
21,1994308.3752687,square,base line
22,1994309.4383075,triangle,distractor
23,1994310.4718945,square,base line
24,1994313.5809757,square,target
25,1994314.6098279,square,target
26,1994315.6657793,square,target
27,1994316.7220533,circle,distractor
28,1994317.7738162,square,target
29,1994318.8148139,square,target
30,1994319.8531066,circle,distractor
31,1994320.8931561,square,target
32,1994321.9313367,square,target
33,1994322.9584644,square,target
34,1994326.0501278,square,distractor
35,1994327.0984057,circle,base line
36,1994328.1468871,square,distractor
37,1994329.1997829,square,distractor
38,1994330.2627438,circle,base line
39,1994331.3019173,square,distractor
40,1994332.3898739,square,distractor
41,1994333.4295231,triangle,target
42,1994334.4764533,square,distractor
43,1994335.6350552,square,distractor
44,1994336.7210099,square,distractor
