602090.6487 	WARNING 	Monitor specification not found. Creating a temporary one...
602090.6681 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1536, 864]. Using actual size
602094.4511 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

602094.5708 	WARNING 	t of last frame was 120.03ms (=1/8)
602094.8121 	WARNING 	t of last frame was 241.25ms (=1/4)
602097.2773 	DATA 	Keypress: space
602097.2839 	WARNING 	t of last frame was 2471.85ms (=1/0)
602097.2839 	EXP 	startBlock
602097.6581 	WARNING 	t of last frame was 374.14ms (=1/2)
602097.6581 	EXP 	baseLine
602098.3676 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
602099.3299 	EXP 	baseLine
602101.0059 	EXP 	baseLine
602102.6794 	EXP 	baseLine
602104.3551 	EXP 	baseLine
602106.0205 	EXP 	baseLine
602107.6845 	EXP 	baseLine
602109.3524 	EXP 	baseLine
602111.0059 	EXP 	baseLine
602112.6766 	EXP 	baseLine
602114.3473 	EXP 	baseLine
602116.0269 	EXP 	target
602117.7084 	EXP 	baseLine
602119.3847 	EXP 	baseLine
602121.0316 	EXP 	baseLine
602122.7219 	EXP 	baseLine
602124.4216 	EXP 	baseLine
602126.1147 	EXP 	baseLine
602127.7899 	EXP 	baseLine
602129.4521 	EXP 	baseLine
602131.1166 	EXP 	baseLine
602132.7925 	EXP 	baseLine
602134.4741 	EXP 	baseLine
602136.1537 	EXP 	baseLine
602137.8272 	EXP 	baseLine
602139.4901 	EXP 	baseLine
602141.1718 	EXP 	baseLine
602142.8377 	EXP 	baseLine
602144.4969 	EXP 	baseLine
602146.1749 	EXP 	baseLine
602147.8108 	EXP 	baseLine
602149.4514 	EXP 	baseLine
602151.1044 	EXP 	baseLine
602152.7775 	EXP 	baseLine
602154.4311 	EXP 	baseLine
602156.0973 	EXP 	baseLine
602157.7539 	EXP 	baseLine
602159.4098 	EXP 	baseLine
602161.0622 	EXP 	baseLine
602162.7313 	EXP 	baseLine
602164.3875 	EXP 	baseLine
602166.0147 	EXP 	baseLine
602167.6673 	EXP 	baseLine
602169.3118 	EXP 	baseLine
602170.9537 	EXP 	baseLine
602172.5918 	EXP 	baseLine
602174.2486 	EXP 	baseLine
602175.9001 	EXP 	baseLine
602177.5542 	EXP 	baseLine
602179.2441 	EXP 	baseLine
602180.8966 	EXP 	baseLine
602182.5455 	EXP 	baseLine
602184.1984 	EXP 	baseLine
602185.8468 	EXP 	baseLine
602187.4875 	EXP 	baseLine
602189.1411 	EXP 	baseLine
602190.7878 	EXP 	baseLine
602192.4409 	EXP 	baseLine
602194.0822 	EXP 	baseLine
602195.7208 	EXP 	target
602197.4315 	EXP 	baseLine
602199.0620 	EXP 	baseLine
602200.7132 	EXP 	baseLine
602202.3723 	EXP 	baseLine
602204.0155 	EXP 	baseLine
602205.6511 	EXP 	baseLine
602207.3111 	EXP 	baseLine
602208.9641 	EXP 	baseLine
602210.6031 	EXP 	baseLine
602212.2496 	EXP 	baseLine
602219.1372 	DATA 	Keypress: space
602219.1511 	EXP 	startBlock
602219.4179 	EXP 	baseLine
602221.0563 	EXP 	baseLine
602222.6881 	EXP 	baseLine
602224.3456 	EXP 	baseLine
602226.0042 	EXP 	baseLine
602227.6573 	EXP 	baseLine
602229.3270 	EXP 	baseLine
602230.9846 	EXP 	baseLine
602232.6345 	EXP 	baseLine
602234.2783 	EXP 	baseLine
602235.9245 	EXP 	baseLine
602237.5683 	EXP 	baseLine
602239.2180 	EXP 	baseLine
602240.8753 	EXP 	baseLine
602242.5051 	EXP 	baseLine
602244.1373 	EXP 	baseLine
602245.7999 	EXP 	distractor
602247.4422 	EXP 	target
602249.0873 	EXP 	baseLine
602250.7370 	EXP 	baseLine
602252.3753 	EXP 	baseLine
602254.0149 	EXP 	baseLine
602255.6414 	EXP 	baseLine
602257.2943 	EXP 	baseLine
602258.9483 	EXP 	baseLine
602260.5910 	EXP 	baseLine
602262.2327 	EXP 	baseLine
602263.9097 	EXP 	baseLine
602265.5824 	EXP 	baseLine
602267.2398 	EXP 	baseLine
602268.8840 	EXP 	baseLine
602270.5466 	EXP 	baseLine
602272.1992 	EXP 	baseLine
602273.8757 	EXP 	baseLine
602275.5377 	EXP 	baseLine
602277.1821 	EXP 	baseLine
602278.8378 	EXP 	baseLine
602280.4927 	EXP 	baseLine
602282.1513 	EXP 	baseLine
602283.8190 	EXP 	baseLine
602285.4785 	EXP 	baseLine
602287.1368 	EXP 	baseLine
602288.7812 	EXP 	baseLine
602290.4233 	EXP 	baseLine
602292.0778 	EXP 	baseLine
602293.7335 	EXP 	baseLine
602295.3967 	EXP 	baseLine
602297.0567 	EXP 	baseLine
602298.7024 	EXP 	baseLine
602300.3672 	EXP 	baseLine
602302.0282 	EXP 	baseLine
602303.6960 	EXP 	baseLine
602305.3462 	EXP 	baseLine
602307.0145 	EXP 	baseLine
602308.6784 	EXP 	baseLine
602310.3253 	EXP 	baseLine
602311.9791 	EXP 	baseLine
602313.6273 	EXP 	baseLine
602315.2769 	EXP 	baseLine
602316.9276 	EXP 	baseLine
602318.5929 	EXP 	baseLine
602320.2505 	EXP 	baseLine
602321.9084 	EXP 	baseLine
602323.5540 	EXP 	baseLine
602325.2057 	EXP 	baseLine
602326.8481 	EXP 	baseLine
602328.5047 	EXP 	baseLine
602330.1476 	EXP 	baseLine
602331.8481 	EXP 	baseLine
602333.5009 	EXP 	baseLine
602339.0743 	DATA 	Keypress: space
602339.0931 	EXP 	startBlock
602339.3436 	EXP 	baseLine
602340.9754 	EXP 	baseLine
602342.6252 	EXP 	baseLine
602344.2937 	EXP 	baseLine
602345.9312 	EXP 	baseLine
602347.5844 	EXP 	baseLine
602349.2117 	EXP 	baseLine
