,time stamp,description
0,1997663.113038,start of Block number 0
1,1997663.2165717,base line
2,1997664.2493832,target
3,1997665.2802501,base line
4,1997666.3195935,base line
5,1997667.3626937,distractor
6,1997668.4126814,base line
7,1997669.4478192,base line
8,1997670.4898402,base line
9,1997671.5267306,base line
10,1997672.569783,distractor
11,1997673.6245503,base line
12,1997676.6258325,start of Block number 1
13,1997676.7256967,base line
14,1997677.7639544,target
15,1997678.8150171,base line
16,1997679.8587484,distractor
17,1997680.8974366,base line
18,1997681.9336037,target
19,1997682.9805239,base line
20,1997684.0233881,target
21,1997685.0693015,base line
22,1997686.1158299,target
23,1997687.1384434,base line
24,1997688.1758371,distractor
25,1997689.1994384,base line
26,1997690.2424167,base line
27,1997693.2391806,start of Block number 2
28,1997693.3461875,base line
29,1997694.3848049,base line
30,1997695.4251132,base line
31,1997696.470927,base line
32,1997697.4888662,distractor
33,1997698.5280597,base line
34,1997699.5681246,base line
35,1997700.6355711,base line
36,1997701.668696,base line
37,1997704.6693103,start of Block number 3
38,1997704.7666485,base line
39,1997705.8131755,base line
40,1997706.8585868,base line
41,1997707.9008932,base line
42,1997709.0191181,distractor
43,1997710.0505904,base line
44,1997711.1203053,base line
45,1997712.1512973,base line
46,1997713.1777047,target
47,1997714.2137261,base line
