index,timeStamp,description
0,602097.2839,startBlock
1,602097.6581,baseLine
2,602099.3299,baseLine
3,602101.0059,baseLine
4,602102.6794,baseLine
5,602104.3551,baseLine
6,602106.0205,baseLine
7,602107.6845,baseLine
8,602109.3524,baseLine
9,602111.0059,baseLine
10,602112.6766,baseLine
11,602114.3473,baseLine
12,602116.0269,target
13,602117.7084,baseLine
14,602119.3847,baseLine
15,602121.0316,baseLine
16,602122.7219,baseLine
17,602124.4216,baseLine
18,602126.1147,baseLine
19,602127.7899,baseLine
20,602129.4521,baseLine
21,602131.1166,baseLine
22,602132.7925,baseLine
23,602134.4741,baseLine
24,602136.1537,baseLine
25,602137.8272,baseLine
26,602139.4901,baseLine
27,602141.1718,baseLine
28,602142.8377,baseLine
29,602144.4969,baseLine
30,602146.1749,baseLine
31,602147.8108,baseLine
32,602149.4514,baseLine
33,602151.1044,baseLine
34,602152.7775,baseLine
35,602154.4311,baseLine
36,602156.0973,baseLine
37,602157.7539,baseLine
38,602159.4098,baseLine
39,602161.0622,baseLine
40,602162.7313,baseLine
41,602164.3875,baseLine
42,602166.0147,baseLine
43,602167.6673,baseLine
44,602169.3118,baseLine
45,602170.9537,baseLine
46,602172.5918,baseLine
47,602174.2486,baseLine
48,602175.9001,baseLine
49,602177.5542,baseLine
50,602179.2441,baseLine
51,602180.8966,baseLine
52,602182.5455,baseLine
53,602184.1984,baseLine
54,602185.8468,baseLine
55,602187.4875,baseLine
56,602189.1411,baseLine
57,602190.7878,baseLine
58,602192.4409,baseLine
59,602194.0822,baseLine
60,602195.7208,target
61,602197.4315,baseLine
62,602199.0620,baseLine
63,602200.7132,baseLine
64,602202.3723,baseLine
65,602204.0155,baseLine
66,602205.6511,baseLine
67,602207.3111,baseLine
68,602208.9641,baseLine
69,602210.6031,baseLine
70,602212.2496,baseLine
71,602219.1511,startBlock
72,602219.4179,baseLine
73,602221.0563,baseLine
74,602222.6881,baseLine
75,602224.3456,baseLine
76,602226.0042,baseLine
77,602227.6573,baseLine
78,602229.3270,baseLine
79,602230.9846,baseLine
80,602232.6345,baseLine
81,602234.2783,baseLine
82,602235.9245,baseLine
83,602237.5683,baseLine
84,602239.2180,baseLine
85,602240.8753,baseLine
86,602242.5051,baseLine
87,602244.1373,baseLine
88,602245.7999,distractor
89,602247.4422,target
90,602249.0873,baseLine
91,602250.7370,baseLine
92,602252.3753,baseLine
93,602254.0149,baseLine
94,602255.6414,baseLine
95,602257.2943,baseLine
96,602258.9483,baseLine
97,602260.5910,baseLine
98,602262.2327,baseLine
99,602263.9097,baseLine
100,602265.5824,baseLine
101,602267.2398,baseLine
102,602268.8840,baseLine
103,602270.5466,baseLine
104,602272.1992,baseLine
105,602273.8757,baseLine
106,602275.5377,baseLine
107,602277.1821,baseLine
108,602278.8378,baseLine
109,602280.4927,baseLine
110,602282.1513,baseLine
111,602283.8190,baseLine
112,602285.4785,baseLine
113,602287.1368,baseLine
114,602288.7812,baseLine
115,602290.4233,baseLine
116,602292.0778,baseLine
117,602293.7335,baseLine
118,602295.3967,baseLine
119,602297.0567,baseLine
120,602298.7024,baseLine
121,602300.3672,baseLine
122,602302.0282,baseLine
123,602303.6960,baseLine
124,602305.3462,baseLine
125,602307.0145,baseLine
126,602308.6784,baseLine
127,602310.3253,baseLine
128,602311.9791,baseLine
129,602313.6273,baseLine
130,602315.2769,baseLine
131,602316.9276,baseLine
132,602318.5929,baseLine
133,602320.2505,baseLine
134,602321.9084,baseLine
135,602323.5540,baseLine
136,602325.2057,baseLine
137,602326.8481,baseLine
138,602328.5047,baseLine
139,602330.1476,baseLine
140,602331.8481,baseLine
141,602333.5009,baseLine
142,602339.0931,startBlock
143,602339.3436,baseLine
144,602340.9754,baseLine
145,602342.6252,baseLine
146,602344.2937,baseLine
147,602345.9312,baseLine
148,602347.5844,baseLine
149,602349.2117,baseLine
150,602350.8535,baseLine
151,602352.5136,baseLine
152,602354.1576,baseLine
153,602355.8285,baseLine
154,602357.4632,baseLine
155,602359.1125,baseLine
156,602360.7822,baseLine
157,602362.4499,distractor
158,602364.0923,baseLine
159,602365.7629,baseLine
160,602367.4043,baseLine
161,602369.0339,baseLine
162,602370.6825,baseLine
163,602372.3021,distractor
164,602373.9553,baseLine
165,602375.5985,baseLine
166,602377.2492,baseLine
167,602378.8989,baseLine
168,602380.5419,baseLine
169,602382.2304,baseLine
170,602383.8983,baseLine
171,602385.5703,baseLine
172,602387.2314,baseLine
173,602388.8735,baseLine
174,602390.5523,baseLine
175,602392.2203,baseLine
176,602393.8971,baseLine
177,602395.5843,baseLine
178,602397.2418,baseLine
179,602398.8844,baseLine
180,602400.5822,baseLine
181,602402.2133,baseLine
182,602403.8572,baseLine
183,602405.5060,baseLine
184,602407.1540,baseLine
185,602408.8009,baseLine
186,602410.4612,baseLine
187,602412.0967,baseLine
188,602413.7397,target
189,602415.4100,baseLine
190,602417.0876,baseLine
191,602418.7620,baseLine
192,602420.4347,baseLine
193,602422.1128,baseLine
194,602423.7743,baseLine
195,602425.4305,baseLine
196,602427.1136,baseLine
197,602428.7631,baseLine
198,602430.3961,baseLine
199,602432.0389,baseLine
200,602433.6863,baseLine
201,602435.2877,baseLine
202,602436.9572,baseLine
203,602438.5869,baseLine
204,602440.2127,baseLine
205,602441.8783,baseLine
206,602443.5076,baseLine
207,602445.1399,baseLine
208,602446.7872,baseLine
209,602448.3994,baseLine
210,602450.0464,baseLine
211,602451.6787,baseLine
212,602453.2989,baseLine
