597252.0439 	WARNING 	Monitor specification not found. Creating a temporary one...
597252.0547 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1536, 864]. Using actual size
597255.8053 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

597256.0381 	WARNING 	t of last frame was 233.11ms (=1/4)
597256.2564 	WARNING 	t of last frame was 218.33ms (=1/4)
597257.8616 	DATA 	Keypress: space
597257.8724 	WARNING 	t of last frame was 1615.99ms (=1/0)
597257.8724 	EXP 	startBlock
597258.2255 	WARNING 	t of last frame was 353.11ms (=1/2)
597258.2255 	EXP 	baseLine
597258.9305 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
597259.8824 	EXP 	baseLine
597261.5689 	EXP 	distractor
597263.2150 	EXP 	baseLine
597264.8731 	EXP 	baseLine
597266.5344 	EXP 	target
597268.2052 	EXP 	baseLine
597269.8935 	EXP 	baseLine
597271.5585 	EXP 	target
597273.2619 	EXP 	distractor
597286.4989 	DATA 	Keypress: space
597286.5064 	EXP 	startBlock
597286.7944 	EXP 	baseLine
597288.4645 	EXP 	target
597290.1361 	EXP 	distractor
597291.7955 	EXP 	baseLine
597293.4980 	EXP 	baseLine
597295.1768 	EXP 	baseLine
597296.8295 	EXP 	baseLine
597298.4977 	EXP 	distractor
597300.2129 	EXP 	baseLine
597301.8779 	EXP 	baseLine
